,ranking,titulo,autor,precio_euros,puntuacion,num_reviews,portada
44,45,Bad Ash 5. Suelo sagrado 2. (Ficción),Alina Not,"16,10 ","4,9",10,"https://images-eu.ssl-images-amazon.com/images/I/818EmlLXYhL._AC_UL300_SR300,200_.jpg"
45,46,Vivir con serenidad. 365 consejos (Psicología),Patricia Ramírez,"18,90 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/71q0RNj9BUL._AC_UL300_SR300,200_.jpg"
46,47,Las Lágrimas de Shiva: 1 (PERISCOPIO),César Mallorquí del Corral,"6,01 ","4,6",2.005,"https://images-eu.ssl-images-amazon.com/images/I/81aNfG7GAKL._AC_UL300_SR300,200_.jpg"
47,48,Código Penal,Editorial Legisfor,"8,50 ","4,7",155,"https://images-eu.ssl-images-amazon.com/images/I/51wLU0EYcTL._AC_UL300_SR300,200_.jpg"
48,49,"Invicto: Logra Más, Sufre Menos: Entrenamiento mental para lograr más y sufrir menos",Marcos Vázquez,"16,30 ","4,7",1.369,"https://images-eu.ssl-images-amazon.com/images/I/61eQJm+GCxL._AC_UL300_SR300,200_.jpg"
49,50,El monje que vendió su Ferrari: Una fábula espiritual (Clave),Robin Sharma,"6,45 ","4,6",7.946,"https://images-eu.ssl-images-amazon.com/images/I/81KbajSAThL._AC_UL300_SR300,200_.jpg"
50,51,"Eres una Chica Maravillosa: Historias inspiradoras sobre el valor, la fuerza interior y la confianza en sí misma",María Garcia,"11,99 ","4,3",239,"https://images-eu.ssl-images-amazon.com/images/I/61ylbXWpdVL._AC_UL300_SR300,200_.jpg"
51,52,Mis postres para triunfar: Increíbles creaciones reposteras para deleitar la vista y el paladar (Libros singulares),Pamela Sánchez Sotomayor,"22,75 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/71-jXzOhO8L._AC_UL300_SR300,200_.jpg"
52,53,Diario de Greg 17 - Dando la nota,Jeff Kinney,"11,25 ","4,9",15,"https://images-eu.ssl-images-amazon.com/images/I/91Bn8wfocML._AC_UL300_SR300,200_.jpg"
53,54,Los cuatro acuerdos: Un libro de sabiduría tolteca (Crecimiento personal),Miguel Ruiz,"7,18 ","4,6",11.449,"https://images-eu.ssl-images-amazon.com/images/I/71mVri6PDWL._AC_UL300_SR300,200_.jpg"
54,55,"Los abrazos lentos: Esbozos, reflexiones y vida (SUMA)",Elísabet Benavent,"16,85 ","3,0",2,"https://images-eu.ssl-images-amazon.com/images/I/71uggI-oYVL._AC_UL300_SR300,200_.jpg"
55,56,"Cómo Dejar de Pensar Demasiado: Una Guía Para Eliminar el Pensamiento Excesivo. Técnicas Prácticas y Mini-Abitudes para Aliviar la Ansiedad, Eliminar los Pensamientos Negativos y Alcanzar la Paz",George Cure,"14,98 ","4,7",404,"https://images-eu.ssl-images-amazon.com/images/I/71JS5cFrZrL._AC_UL300_SR300,200_.jpg"
56,57,Las Ratitas 8. El bosque de las hadas luminosas (Jóvenes influencers),Las Ratitas,"11,20 ","4,8",28,"https://images-eu.ssl-images-amazon.com/images/I/91+YpwuegZL._AC_UL300_SR300,200_.jpg"
57,58,Cómo ganar amigos e influir sobre las personas [Español],Dale Carnegie,"13,65 ","4,5",1.574,"https://images-eu.ssl-images-amazon.com/images/I/719uzPo3j1L._AC_UL300_SR300,200_.jpg"
58,59,"CALIGRAFÍA DIVERTIDA CON PAUTA MONTESSORI: Chistes para niños en letra ligada escolar para mejorar escritura, comprensión lectora y ortografía fácil y con una sonrisa.",Carla Moreno Río,"6,99 ","4,7",270,"https://images-eu.ssl-images-amazon.com/images/I/71A8JbHKqrL._AC_UL300_SR300,200_.jpg"
59,60,Querida yo: tenemos que hablar. Conócete y sé feliz contigo: Conócete y sé feliz contigo (Montena),Elizabeth Clapés (@esmipsicologa),"16,10 ","4,6",536,"https://images-eu.ssl-images-amazon.com/images/I/61U+JNFHcwL._AC_UL300_SR300,200_.jpg"
60,61,Postres Realfooding: 50 recetas fáciles y deliciosas (Biblioteca Realfooding),Lucía Martínez,"12,30 ",None,None,"https://images-eu.ssl-images-amazon.com/images/I/71wO9VoLCzL._AC_UL300_SR300,200_.jpg"
